task,framework,metric,result
CAMO,AutoMM,"sm,em","0.8930137316079597,0.9293843482605602"
Leaf,AutoMM,iou,0.7289326190948486
Road,AutoMM,iou,0.6198466420173645
SBU,AutoMM,ber,0.03900670260190964
ISIC2017,AutoMM,iou,0.7789210677146912
Kvasir,AutoMM,"sm,em","0.9205519070157092,0.9469664114822752"
CVC-612,AutoMM,"sm,em","0.9053900344114377,0.9252175242898815"
