id,task,framework,constraint,version,fold,type,metric,utc,training_duration,predict_duration,result
id/0,cd18,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,regression,rmse,2024-03-01T08:02:29,1988.4,44.0,519.736065952709
id/0,hateful_meme,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-03-01T08:02:53,3968.0,48.6,0.624711312839049
id/0,petfinder,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-03-01T08:02:49,5060.2,59.5,0.389508928571429
id/0,financial_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:22,1210.8,40.9,0.592363261093911
id/0,MLDoc-11000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:27,2800.4,57.9,0.38725
id/0,gnad10,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:44,2586.5,45.1,0.194552529182879
id/0,MultiATIS-5000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:38,1063.0,39.9,0.723905723905724
id/0,fb_dialog,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:37,3417.0,49.7,0.459033209385819
id/0,SNIPS,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:37,3264.4,39.3,0.467142857142857
id/0,ag_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:12:37,24346.8,49.8,0.623552631578947
id/0,financial_news,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:55,982.0,40.8,0.584107327141383
id/0,MLDoc-11000,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:39:00,2641.0,58.3,0.392
id/0,gnad10,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:56,2438.3,45.0,0.195525291828794
id/0,MultiATIS-5000,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:55,732.4,39.3,0.722783389450056
id/0,fb_dialog,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:54,3317.9,49.8,0.459033209385819
id/0,SNIPS,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:56,3248.8,39.1,0.488571428571429
id/0,ag_news,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:55,24870.7,49.6,0.628157894736842
id/0,financial_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:08,1216.2,41.2,0.592363261093911
id/0,MLDoc-11000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:15,2795.1,58.1,0.38725
id/0,gnad10,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:15,2583.2,44.6,0.194552529182879
id/0,MultiATIS-5000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:11,1075.3,39.7,0.723905723905724
id/0,fb_dialog,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:11,3363.1,49.8,0.459033209385819
id/0,SNIPS,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:12,3321.4,39.7,0.467142857142857
id/0,ag_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:38:12,25250.2,49.6,0.623815789473684
id/0,financial_news,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:51:57,1199.8,41.0,0.592363261093911
id/0,MLDoc-11000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:52:00,2781.9,58.2,0.38725
id/0,gnad10,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:52:00,2584.0,45.1,0.194552529182879
id/0,MultiATIS-5000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:51:58,1084.1,39.6,0.723905723905724
id/0,fb_dialog,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:49:55,3518.4,50.3,0.459033209385819
id/0,SNIPS,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:52:28,3313.3,39.2,0.468571428571429
id/0,ag_news,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:52:02,25195.8,50.2,0.623552631578947
id/0,financial_news,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:52:18,1132.4,40.7,0.584107327141383
id/0,MLDoc-11000,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:52,2765.4,58.1,0.392
id/0,gnad10,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:53,2619.7,44.9,0.195525291828794
id/0,MultiATIS-5000,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:53,861.2,39.4,0.723905723905724
id/0,fb_dialog,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:52,3446.2,50.1,0.459033209385819
id/0,SNIPS,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:52,3306.7,39.1,0.507142857142857
id/0,ag_news,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:51,25088.4,49.6,0.633815789473684
id/0,financial_news,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:50,1207.9,40.8,0.886480908152735
id/0,MLDoc-11000,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:52,2807.9,58.7,0.97675
id/0,gnad10,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:52,2551.4,45.1,0.897859922178988
id/0,MultiATIS-5000,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:52,1466.9,39.8,0.988776655443322
id/0,fb_dialog,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:51,5985.7,50.2,0.992434927554815
id/0,SNIPS,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:51,2407.9,39.8,0.988571428571428
id/0,ag_news,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:06:52,25237.4,49.8,0.944736842105263
